epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,171.532,0.83613,0.91706,1.00085,0.83479,0.64318,0.90374,0.55125,1.21953,1.23777,1.18734,0.0003862,0.0003862,0.0003862
95,173.48,0.82728,0.90492,1.02436,0.83479,0.64318,0.90374,0.55125,1.21953,1.23777,1.18734,0.0003796,0.0003796,0.0003796
96,175.297,0.83787,0.85078,1.02613,0.89744,0.66364,0.93707,0.56026,1.2297,1.25665,1.19313,0.000373,0.000373,0.000373
97,177.364,0.77142,0.86862,1.0006,0.57787,0.91667,0.90105,0.50917,1.23207,1.27894,1.19783,0.0003664,0.0003664,0.0003664
98,179.601,0.81528,0.91627,1.01303,0.61779,0.91667,0.86692,0.50653,1.24868,1.34664,1.21354,0.0003598,0.0003598,0.0003598
99,181.599,0.80086,0.8806,0.99875,0.66173,0.91667,0.82578,0.47461,1.24447,1.4296,1.20816,0.0003532,0.0003532,0.0003532
100,183.555,0.76945,0.88578,1.01322,0.66173,0.91667,0.82578,0.47461,1.24447,1.4296,1.20816,0.0003466,0.0003466,0.0003466
101,185.53,0.82492,0.89891,1.01813,0.70719,0.89133,0.82507,0.48417,1.23669,1.5031,1.20418,0.00034,0.00034,0.00034
102,187.886,0.80414,0.88033,1.01391,0.701,0.87011,0.84765,0.49042,1.26395,1.51685,1.22239,0.0003334,0.0003334,0.0003334
103,189.877,0.74799,0.79366,0.97385,0.71771,0.86318,0.9057,0.5047,1.2732,1.44065,1.24015,0.0003268,0.0003268,0.0003268
104,191.486,0.84468,0.93002,1.01256,0.72765,0.86424,0.90745,0.51404,1.26641,1.41453,1.24108,0.0003202,0.0003202,0.0003202
105,193.617,0.75537,0.83918,0.99397,0.72765,0.86424,0.90745,0.51404,1.26641,1.41453,1.24108,0.0003136,0.0003136,0.0003136
106,195.645,0.74856,0.83001,1.00376,0.71489,0.88047,0.91225,0.50053,1.22062,1.3707,1.21342,0.000307,0.000307,0.000307
107,197.721,0.81309,0.92932,1.02752,0.71715,0.89828,0.91225,0.50277,1.19023,1.36889,1.19639,0.0003004,0.0003004,0.0003004
108,199.752,0.81688,0.85683,1.03315,0.70079,0.94452,0.91582,0.46484,1.22797,1.35578,1.22491,0.0002938,0.0002938,0.0002938
109,201.682,0.79697,0.88509,0.9944,0.68906,0.92845,0.92401,0.54479,1.19236,1.40437,1.20614,0.0002872,0.0002872,0.0002872
110,203.879,0.75659,0.82938,0.98883,0.71098,0.93032,0.8697,0.53558,1.24265,1.39397,1.23165,0.0002806,0.0002806,0.0002806
111,206.06,0.77242,0.87842,1.00311,0.71098,0.93032,0.8697,0.53558,1.24265,1.39397,1.23165,0.000274,0.000274,0.000274
112,208.095,0.75638,0.83669,0.98814,0.72311,0.93791,0.83676,0.45868,1.261,1.4126,1.23252,0.0002674,0.0002674,0.0002674
113,210.03,0.74207,0.80728,0.99718,0.74405,0.93617,0.8591,0.48024,1.27488,1.40158,1.24223,0.0002608,0.0002608,0.0002608
114,211.917,0.7784,0.86082,0.99748,0.76616,0.85754,0.8616,0.49961,1.28696,1.39746,1.23988,0.0002542,0.0002542,0.0002542
115,214.014,0.77877,0.79852,0.97214,0.7001,0.9099,0.84715,0.48016,1.2943,1.40667,1.25566,0.0002476,0.0002476,0.0002476
116,215.62,0.80069,0.87707,1.00579,0.7001,0.9099,0.84715,0.48016,1.2943,1.40667,1.25566,0.000241,0.000241,0.000241
117,216.94,0.73805,0.86324,0.99981,0.66785,0.89615,0.87589,0.49651,1.30605,1.46622,1.27034,0.0002344,0.0002344,0.0002344
118,218.358,0.78791,0.81736,0.99926,0.71253,0.79185,0.87759,0.49152,1.28423,1.47909,1.2498,0.0002278,0.0002278,0.0002278
119,219.66,0.78805,0.86588,1.00995,0.6861,0.85,0.8603,0.47452,1.26858,1.44884,1.23722,0.0002212,0.0002212,0.0002212
120,220.944,0.77436,0.87843,1.02344,0.70065,0.86363,0.87512,0.49668,1.23365,1.46954,1.20594,0.0002146,0.0002146,0.0002146
121,222.213,0.78863,0.88696,1.0065,0.70065,0.86363,0.87512,0.49668,1.23365,1.46954,1.20594,0.000208,0.000208,0.000208
122,223.5,0.72824,0.7912,0.97892,0.70359,0.91667,0.87805,0.51264,1.23108,1.41316,1.20028,0.0002014,0.0002014,0.0002014
123,225.575,0.74698,0.81468,1.00642,0.69925,0.91049,0.89113,0.53047,1.25967,1.35502,1.2111,0.0001948,0.0001948,0.0001948
124,227.716,0.74081,0.79698,0.99607,0.65431,0.91667,0.88994,0.51891,1.27982,1.35015,1.22496,0.0001882,0.0001882,0.0001882
125,229.814,0.75527,0.8175,0.9841,0.67677,0.91667,0.89499,0.53596,1.29867,1.32402,1.24224,0.0001816,0.0001816,0.0001816
126,231.941,0.73292,0.82417,0.99157,0.65504,0.91667,0.89499,0.54121,1.27992,1.34984,1.2278,0.000175,0.000175,0.000175
127,233.794,0.73856,0.8045,0.98047,0.65504,0.91667,0.89499,0.54121,1.27992,1.34984,1.2278,0.0001684,0.0001684,0.0001684
128,235.46,0.70836,0.76398,0.97921,0.5858,0.91667,0.89912,0.52835,1.26394,1.38705,1.23241,0.0001618,0.0001618,0.0001618
129,237.237,0.73636,0.81081,0.98815,0.55023,0.91667,0.86738,0.49512,1.26325,1.3964,1.23155,0.0001552,0.0001552,0.0001552
130,239.259,0.73417,0.86577,0.99569,0.53217,0.91667,0.90065,0.50727,1.26012,1.36838,1.2269,0.0001486,0.0001486,0.0001486
131,241.1,0.72577,0.83373,1.01808,0.56455,0.9332,0.87987,0.49856,1.22736,1.38694,1.21355,0.000142,0.000142,0.000142
132,242.958,0.73793,0.83738,0.97985,0.56455,0.9332,0.87987,0.49856,1.22736,1.38694,1.21355,0.0001354,0.0001354,0.0001354
133,244.802,0.75777,0.80749,0.98211,0.61152,0.91038,0.89098,0.53186,1.22088,1.38719,1.19179,0.0001288,0.0001288,0.0001288
134,246.861,0.78351,0.83233,1.02705,0.63719,0.9165,0.88327,0.54016,1.21607,1.34629,1.19343,0.0001222,0.0001222,0.0001222
135,248.805,0.74538,0.81238,0.97839,0.63662,0.91667,0.90698,0.53976,1.2089,1.33352,1.18974,0.0001156,0.0001156,0.0001156
136,250.376,0.75764,0.79364,0.98449,0.61196,0.91667,0.90698,0.5498,1.18964,1.3206,1.17483,0.000109,0.000109,0.000109
137,251.811,0.70384,0.75531,0.94151,0.61196,0.91667,0.90698,0.5498,1.18964,1.3206,1.17483,0.0001024,0.0001024,0.0001024
138,253.833,0.73403,0.79058,0.98176,0.62041,0.92915,0.91804,0.5586,1.17956,1.29284,1.16851,9.58e-05,9.58e-05,9.58e-05
139,255.731,0.73367,0.79005,0.99632,0.61582,0.93124,0.91927,0.56817,1.15706,1.27003,1.14881,8.92e-05,8.92e-05,8.92e-05
140,257.904,0.69703,0.79055,0.99086,0.64002,0.92908,0.91927,0.56738,1.1712,1.27792,1.14683,8.26e-05,8.26e-05,8.26e-05
141,260.094,0.70443,0.90607,1.0108,0.62496,0.87626,0.8431,0.52714,1.15762,1.33406,1.12816,7.6e-05,7.6e-05,7.6e-05
142,261.908,0.70891,0.82271,0.97281,0.59168,0.81667,0.8676,0.56886,1.15075,1.42425,1.11159,6.94e-05,6.94e-05,6.94e-05
143,263.426,0.70309,0.89557,0.99759,0.59168,0.81667,0.8676,0.56886,1.15075,1.42425,1.11159,6.28e-05,6.28e-05,6.28e-05
144,264.885,0.68619,0.81893,0.96461,0.58817,0.81667,0.8676,0.57236,1.13549,1.45729,1.1157,5.62e-05,5.62e-05,5.62e-05
145,266.606,0.68422,0.80738,0.98092,0.57135,0.81667,0.86093,0.56828,1.13245,1.46921,1.10523,4.96e-05,4.96e-05,4.96e-05
146,267.982,0.70058,0.80663,0.96461,0.58405,0.84329,0.82044,0.53598,1.13802,1.47477,1.09907,4.3e-05,4.3e-05,4.3e-05
147,269.234,0.69525,0.77666,0.93663,0.57974,0.91667,0.88837,0.5567,1.14333,1.47188,1.11168,3.64e-05,3.64e-05,3.64e-05
148,270.57,0.7114,0.8077,0.97446,0.57974,0.91667,0.88837,0.5567,1.14333,1.47188,1.11168,2.98e-05,2.98e-05,2.98e-05
149,272.068,0.67635,0.79778,0.96174,0.56875,0.91667,0.85537,0.53088,1.15299,1.47126,1.12117,2.32e-05,2.32e-05,2.32e-05
150,273.546,0.71946,0.83673,0.98119,0.56226,0.91667,0.80078,0.52156,1.14768,1.48307,1.11779,1.66e-05,1.66e-05,1.66e-05
